                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.9478,                0.97207,                 1.2094,                 2.1721,                 1.1339,                 1.1182,                0.68958,                  0.622,                0.63954,                0.23699,                  2.005,                 1.0053,                 1.1968,                 2.2125,                  1.211,                 1.1018,               0.000614,               0.000614,               0.000614
                     73,                 1.9259,                0.95013,                 1.1999,                  2.172,                 1.1772,                 1.1185,                0.70766,                   0.64,                0.67557,                0.26341,                 1.9482,                0.96872,                  1.171,                 2.1291,                 1.1533,                 1.0663,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.9461,                0.95228,                 1.1886,                 2.1484,                 1.1199,                 1.1061,                 0.7051,                0.63269,                0.66074,                0.25004,                 1.9803,                0.94341,                 1.1851,                 2.2008,                  1.136,                 1.0903,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.912,                0.96171,                 1.1994,                 2.1394,                 1.1176,                 1.1212,                0.68111,                0.66462,                0.66051,                 0.2514,                 1.9728,                 1.0013,                 1.1866,                  2.193,                 1.1466,                 1.0891,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.914,                0.95032,                 1.2011,                 2.1628,                  1.147,                 1.1224,                0.70046,                0.65476,                0.67056,                 0.2569,                 1.9775,                0.96899,                 1.1833,                 2.1908,                 1.1453,                 1.0871,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.9309,                0.94368,                 1.1898,                 2.1784,                 1.1323,                 1.1004,                0.68649,                0.61312,                 0.6199,                0.22885,                 2.0568,                 1.0227,                 1.2075,                   2.26,                 1.2074,                 1.0948,               0.000515,               0.000515,               0.000515
                     78,                 1.9323,                 0.9483,                  1.182,                 2.1625,                 1.1482,                 1.1073,                0.72814,                0.63458,                0.67062,                0.25906,                 1.9818,                0.96601,                 1.1848,                 2.2173,                 1.1238,                 1.0825,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.8861,                0.92589,                 1.1889,                 2.1145,                 1.1172,                 1.1045,                0.72389,                0.65538,                0.68137,                0.26172,                 1.9956,                0.95107,                 1.1729,                 2.2275,                 1.0844,                 1.0916,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.9109,                 0.9305,                 1.1786,                 2.1575,                 1.1225,                 1.0993,                0.72159,                0.66192,                0.69664,                0.26767,                 1.9912,                 0.9387,                  1.191,                 2.1791,                 1.0943,                 1.0851,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.8824,                0.92725,                  1.196,                 2.1541,                 1.1332,                 1.1256,                0.71345,                0.63585,                 0.6791,                0.25439,                 2.0417,                0.94635,                 1.2039,                 2.2294,                 1.1018,                 1.0949,              0.0004358,              0.0004358,              0.0004358
